"Zona";"Subzona";"Tipo";"Dirección";"Precio (€)";"m² construidos";"m² útiles";"Habitaciones";"Baños";"Planta";"Exterior/Interior";"Ascensor";"Estado";"Año construcción";"Calefacción";"Aire acondicionado";"Garaje";"Trastero";"Terraza";"Piscina";"Jardín";"Certificación energética";"Descripción";"Link";"Coche lunes 8am (min)";"Coche domingo 9am (min)";"Distancia coche (km)";"Bus lunes 8am (min)";"Bus domingo 9am (min)";"A pie (min)"
"Madrid";"Moratalaz";"Piso";"Calle de la Hacienda de Pavones";"159000";"75";"";"3";"1";"Planta 4ª exterior sin ascensor";"Exterior";"No";"A reformar";"?";"";"";"";"";"";"";"";"En trámite";"¡LEER ANUNCIO!  |  | VIVIENDA OKUPADA, NO SE PUEDE VISITAR. | ¡NO SE PUEDE FINANCIAR! ¡COMPRA AL CONTADO! DESOCUPACION INCLUIDA EN EL PRECIO! |  | LA AGENCIA DEL BARRIO vende estupendo piso de 75m2 construidos en Moratalaz, Fontarrón, Madrid. |  | La vivienda se compone de un hall de entrada, salón comedor, cocina independiente, tres dormitorios, uno de ellos el principal, baño completo.  |  | Zona residencial consolidada, con todas las comodidades de los comercios para hacer la compra (supermercados, panadería, tiendas de alimentación, frutería y verdulería, etc. ) centros de educación y salud (farmacias, centro de salud, clínica dental, veterinaria etc. ), parada de autobuses, metro, gasolineras, etc. |  | Llámenos e infórmese de como adquirir esta propiedad. | ¡LE ESPERAMOS! |  | HORARIO DE 10 A 14 Y DE 17 A 20H. | DE LUNES A VIERNES. |  | GRACIAS.";"https://www.idealista.com/inmueble/106751748/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Calle de la Tacona";"149900";"31";"";"1";"1";"Bajo exterior sin ascensor";"Exterior";"No";"Buen estado";"?";"Calefacción individual: Bomba de frío/calor";"Sí";"";"";"";"";"";"En trámite";"**Piso en Venta en Moratalaz - Ideal para Inversores y Parejas** |  | Descubre este encantador loft de un dormitorio en el corazón de Moratalaz. Con 31 m² construidos, este acogedor espacio es perfecto para quienes buscan comodidad y funcionalidad. El INMUEBLE ha sido recientemente reformado, ofreciendo un ambiente moderno y agradable. La vivienda cuenta con suelos de tarima y cerramientos de PVC que garantizan un excelente aislamiento. |  | Ubicado a pocos pasos de la comisaría y rodeado de todos los servicios necesarios, tendrás todo lo que necesitas al alcance de la mano. Además, la conexión con el transporte público es inmejorable, con paradas de autobús muy cercanas y fácil acceso a las principales carreteras.  |  | Este piso no solo es una excelente opción para vivir, sino que también ofrece una rentabilidad inmediata, ideal para inversores. Con financiación de hasta el 100%, no hay mejor momento para hacerte con este espacio exterior en planta baja, que incluye aire acondicionado y calefacción por bomba de frío/calor. ¡No dejes pasar esta oportunidad única!";"https://www.idealista.com/inmueble/107038458/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Calle de la Encomienda de Palacios";"232000";"78";"";"2";"1";"Planta 1ª  sin ascensor";"?";"No";"Buen estado";"?";"";"";"";"";"";"";"";"";"Inmueble sin posesión y sin acceso al interior. Las fotografías del interior y las características del activo, pueden no ajustarse al estado actual. |  | NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR |  | ¡Oportunidad de inversión con alta rentabilidad potencial! |  | Te presentamos un piso con situación a regularizar, ideal para inversores interesados en oportunidades con margen de revalorización. Este tipo de inmuebles se ha convertido en una opción estratégica dentro del mercado inmobiliario, ofreciendo la posibilidad de obtener ingresos estables o una futura revalorización una vez regularizada su situación. |  | El piso forma parte de un edificio residencial ubicado en una zona consolidada y bien comunicada de Madrid, dentro de un entorno que combina tranquilidad, servicios cercanos y buenas conexiones con el resto del municipio y las principales vías de acceso de la provincia.  |  | A su alrededor, el entorno cuenta con colegios, supermercados, centros de salud y transporte público a escasos minutos, lo que facilita la vida cotidiana de los residentes. Además, la zona ofrece espacios verdes, comercios locales y opciones de ocio, convirtiéndose en un entorno cómodo y equilibrado. |  | Hipoges es una plataforma inmobiliaria donde podrás acceder a miles de activos inmobiliarios de diferentes tipos como viviendas, locales comerciales, terrenos, nueva obra, tanto a nivel particular como para inversores. Hipoges cuenta con una amplia cartera de activos inmuebles tanto en España como en Portugal y Grecia. |  | Esta propiedad está ocupada por terceros. No se puede visitar. No apta para compradores que requieran financiación hipotecaria. El comprador será responsable de los trámites y gastos relacionados con la desocupación del inmueble. La información proporcionada referente a la distribución y estructura puede no ajustarse a la realidad, ya que su verificación no ha sido posible. La distribución indicada se ha tomado en referencia a la distribución de activos de la zona. |  | ¿Necesitas financiación? Te ofrecemos la posibilidad de financiaciones de hasta el 100% para la compra de este inmueble. Entra en Finanwin. com, haz tu simulación y obtén la mejor oferta para tu Hipoteca de la manera más ágil y sencilla.";"https://www.idealista.com/inmueble/107160714/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Calle Entre Arroyos, 12";"320000";"59";"";"2";"1";"Planta 3ª exterior sin ascensor";"Exterior";"No";"Buen estado";"?";"Calefacción individual: Gas natural";"Sí";"";"";"";"";"";"En trámite";"Piso reformado hace 3 años. | Reforma integral: cocina, suelos, techos, pintura lisa, fontanería, electricidad, instalacion de gas natural y radiadores. | Cocina con todos los electrodomésticos Bosch de gama alta, lavadora y lavavajillas panelados, horno con microondas incorporado. Ventanas oscilobatientes, puertas lacadas blancas a juego con el armario empotrado y puerta acorazada de entrada.  | Calefacción de gas natural, halógenos led, grifería Grohe en cocina y baño, éste con ducha con mampara fija y puerta. | La terraza se cerró con ventanas laterales y un cristal fijo en el frontal, tiene sol prácticamente todo el día al dar al Sur y vistas despejadas a un parque infantil, cabe una mesita y dos sillas, tiene la caldera (Bosch/Junkers) en un lateral y no molesta.  | Los 70 euros de comunidad incluyen el agua y de IBI se pagan unos 220 euros. | El armario de la habitación principal se hizo a medida y tiene 3.60 metros de largo. | Es la última planta del edificio, súper soleado todo el día por su triple orientación, vistas despejadas y muy silencioso porque no hay tráfico alrededor al ser bocacalles peatonales de acceso a las viviendas únicamente. | Es un tercero sin ascensor y el precio no se negocia (Los electrodomésticos si entran en el precio (todos) y los muebles se pueden negociar sin problema). | Para que se hagan una idea el sillón azul tiene unos 2,15 metros de ancho y desde este a la TV que se ve (65"") hay 2,80 metros. | Abstenerse agencias por favor. La entrega de la casa se hará un mínimo de dos meses y un máximo de cuatro una vez formalizada la compra. La casa se puede enseñar los Viernes tarde y Sábados con cita previa. | Gracias por la comprensión.";"https://www.idealista.com/inmueble/107270430/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Calle de la Fuente Carrantona";"316000";"75";"60";"3";"1";"Planta 2ª exterior sin ascensor";"Exterior";"No";"Buen estado";"1970";"No dispone de calefacción";"";"";"Sí";"";"";"";"";"****REFORMA 2024****** | ¡Descubre tu nuevo hogar en Moratalaz! Este espectacular piso reformado en 2024 ofrece un diseño moderno y acogedor. Con una superficie de 70 m², cuenta con tres luminosos dormitorios que llenarán de vida tus días. El salón, amplio y lleno de luz natural, se convierte en el lugar perfecto para relajarte o recibir a amigos y familiares. La cocina está equipada con electrodomésticos de calidad, ideal para los amantes de la gastronomía. |  | Ubicado en una zona privilegiada, tendrás acceso directo a las M-30 y M-40, facilitando tus desplazamientos. A pocos pasos de la estación e intercambiador de Pavones y con varias líneas de autobús cercanas, la movilidad es inmejorable. Además, la cercanía a colegios, parques y comercios te permitirá disfrutar de una vida cómoda y práctica. |  | Este piso exterior, con orientación sur-este, cuenta con suelos de tarima y ventanas climalite que garantizan un excelente aislamiento térmico. Las elegantes puertas blancas añaden un toque de distinción a cada habitación. También incluye un trastero para mayor comodidad. No pierdas la oportunidad de vivir en uno de los mejores barrios de Madrid. ¡Ven a verlo y enamórate!";"https://www.idealista.com/inmueble/108190000/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Calle Arroyo de las Pilillas";"229000";"50";"46";"2";"1";"Entreplanta exterior con ascensor";"Exterior";"Sí";"A reformar";"?";"Calefacción individual: Eléctrica";"Sí";"";"";"Sí";"";"";"";"Se vende vivienda de 50 m2, para reformar, de 2 dormitorios y 1 baño con bañera, terraza cerrada pero no incorporada al salón, muy luminoso con orientación Sur, bomba frío y calor. La vivienda se sube con el ascensor medio tramo. | Muy bien comunicada de metro y autobuses a 200 metros, metro Vinateros.  | Rodeada de todos los servicios farmacia, biblioteca, mercado y supermercado. |  | “Se informa al cliente que los gastos de notaría, tasación, registro, gestoría, impuesto de transmisión, gastos financieros, gastos de gestión y/o cualquier otro gastos inherentes a la compraventa, no están incluidos en el precio publicado y correspondiente a la parte compradora"".";"https://www.idealista.com/inmueble/108356640/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Calle de Arroyo de Fontarrón";"315000";"73";"";"2";"2";"Planta 3ª exterior con ascensor";"Exterior";"Sí";"Buen estado";"?";"";"";"";"";"";"";"";"En trámite";"Piso exterior reformado a medida. Consta de 2 dormitorios, 2 baños y cocina integrada. |  | En nuestras reformas se cambian todas las instalaciones y tabiquerías interiores, incidiendo en la eficiencia energética y el aprovechamiento del espacio. |  | La tabiquería interior se renueva utilizando doble tabiquería de pladur con fibra mineral para asegurar el nuevo aislamiento tanto térmico como acústico. En muchos casos, se mejora también el aislamiento de fachadas, medianeras, suelos y techos por petición con materiales de especiales cualidades que ocupan el menor espacio posible. |  | Nuestras reformas han sido cuidadosamente diseñadas realizando viviendas totalmente equipadas con gamas medias altas pensadas para una primera vivienda. También ayudamos a gestionar la financiación más competitiva para cada perfil.";"https://www.idealista.com/inmueble/108363130/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Pavones";"225500";"58";"";"2";"1";"Planta 3ª exterior sin ascensor";"Exterior";"No";"Buen estado";"1972";"";"";"";"";"Sí";"";"";"";"VIVIENDA ALQUILADA, IDEAL PARA INVERSORES Y SIN COMISIONES DE AGENCIA |  |  Excelente piso de 2 dormitorios y 1 baño. Se encuentra en la planta 3 de un edificio residencial y cuenta con terraza. |  |  La vivienda se distribuye en 2 dormitorios, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias. |  |  Se encuentra ubicado en Pavones, Moratalaz (Sureste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Intercambiador de Pavones y se encuentra a menos de 10 minutos andando. La parada de autobús más cercana es Encomienda de Palacios-Valdebernardo y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 10 minutos andando.  |  |  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el centro de salud más cercano se encuentra a 340 metros, la farmacia más cercana se encuentra a 230 metros, existen 4 colegios a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar 8 comisarías de policía. |  |  La zona cuenta con una amplia oferta de entretenimiento con 21 parques, bares, restaurantes y comercios a pocos minutos de la vivienda. |  |  En cuanto al transporte privado, la zona dispone de parkings privados y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Autovia del Este, Calle de la Fuente Carrantona y la Avenida del Doctor Garcia Tapia. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. |  | Detalles del contrato: |  | Vencimiento del contrato: 28/09/2027 | Renta mensual actual: 796€ | Rentabilidad estimada: 4.2% |  | Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S.L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. |  | *Importante: | Dado que la propiedad está alquilada, no es posible realizar visitas en este momento. |  | La vivienda se comercializa mediante colaboradores que no cobran comisión de agencia, ofreciéndote un proceso directo, claro y sin costes añadidos.";"https://www.idealista.com/inmueble/108445620/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Fontarrón";"236500";"58";"";"3";"1";"Planta 1ª exterior sin ascensor";"Exterior";"No";"Buen estado";"1970";"Calefacción individual";"";"";"";"";"";"";"";"VIVIENDA ALQUILADA, IDEAL PARA INVERSORES Y SIN COMISIONES DE AGENCIA |  |  Excelente piso de 3 dormitorios y 1 baño. Se encuentra en la planta 1 de un edificio residencial. |  |  La vivienda se distribuye en 3 dormitorios, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias. |  |  Se encuentra ubicado en Fontarron, Moratalaz (Sureste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Intercambiador de Pavones y se encuentra a menos de 20 minutos andando. La parada de autobús más cercana es Arroyo Fontarron-Pio Felipe y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 10 minutos andando.  |  |  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, existen 4 farmacias a menos de 300 metros, el colegio más cercano se encuentra a 120 metros. Además, a menos de 500 metros también puedes encontrar un supermercado, un banco, 7 comisarías de policía. |  |  La zona cuenta con una amplia oferta de entretenimiento con un gimnasio, 5 parques, bares, restaurantes y comercios a pocos minutos de la vivienda. |  |  En cuanto al transporte privado, la zona dispone de parkings privados y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Avenida de la Paz, Calle de la Fuente Carrantona y la Avenida de Moratalaz. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. |  | Detalles del contrato: |  | Vencimiento del contrato: 23/01/2031 | Renta mensual actual: 1.020€ | Rentabilidad estimada: 5.2% |  | Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S.L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. |  | *Importante: | Dado que la propiedad está alquilada, no es posible realizar visitas en este momento. |  | La vivienda se comercializa mediante colaboradores que no cobran comisión de agencia, ofreciéndote un proceso directo, claro y sin costes añadidos.";"https://www.idealista.com/inmueble/108445810/";"";"";"";"";"";""
"Madrid";"Moratalaz";"Piso";"Media Legua";"101000";"58";"48";"3";"1";"Bajo exterior con ascensor";"Exterior";"Sí";"Buen estado";"1959";"Calefacción individual: Gas natural";"Sí";"";"";"Sí";"";"";"";"¡Oportunidad única! Venta de Nuda Propiedad en Moratalaz |  | Inmobiliaria Eduardo Molet, pone el exclusiva la venta de la Nuda Propiedad de un encantador piso en Moratalaz, una de las zonas más tranquilas y arboladas de Madrid, con todos los servicios al alcance de la mano: transporte público, supermercados, colegios y mucho más. La actual propietaria, de 66 años, mantendrá el usufructo vitalicio, garantizando su residencia hasta el final de sus días. |  | Características del inmueble: | Superficie total según catastro: 58 m2 | Superficie útil: 48,44 m2 |  | Distribución: |  | Hall de entrada | Amplio salón-comedor (con terraza integrada) | Tres dormitorios (uno doble y dos sencillos) | Cocina independiente | Baño con ducha |  | Detalles adicionales: |  | Estado: Excelente conservación | Calefacción y agua caliente individual: Gas natural | Aire acondicionado | Paredes lisas y suelos de tarima | 50 euros de gastos de comunidad, ITE favorable año 2018, próxima ITE año 2028. |  | Si buscas una inversión segura en una zona consolidada y con alta demanda, este piso es para ti. ¡No dejes pasar esta oportunidad! | Contacta ahora para más información. |  | En el precio de la vivienda no están incluidos los siguientes gastos:  |  Impuesto de transmisiones patrimoniales ( 6%) |  Notaria ( entre 0,2 y 0,5%) |  Registro de la propiedad ( entre 0,1% y 0,3%) | Estos costes se pagan aparte y deben tener en cuenta al calcular el gasto total de la compra.";"https://www.idealista.com/inmueble/108473650/";"";"";"";"";"";""
